title,description,image,price,stock,category
Modern Desk Lamp,Adjustable LED desk lamp with three brightness modes.,https://images.unsplash.com/photo-1507473885765-e6ed057f782c,29.99,45,OFFICE
Wireless Mechanical Keyboard,Compact wireless mechanical keyboard with RGB backlighting.,https://images.unsplash.com/photo-1587829741301-dc798b83add3,79.99,30,ELECTRONICS
Classic Cotton T-Shirt,Comfortable regular-fit cotton t-shirt for everyday wear.,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,19.99,100,APPAREL
Running Sports Shoes,Lightweight cushioned shoes designed for running and training.,https://images.unsplash.com/photo-1542291026-7eec264c27ff,64.99,55,FOOTWEAR
Stainless Steel Water Bottle,Double-wall insulated bottle that keeps drinks cold or hot.,https://images.unsplash.com/photo-1602143407151-7111542de6e8,24.99,70,SPORTS
Ceramic Coffee Mug,Minimal ceramic mug suitable for coffee tea and other beverages.,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d,12.50,80,KITCHEN
Leather Travel Wallet,Slim wallet with multiple card slots and a dedicated cash compartment.,https://images.unsplash.com/photo-1627123424574-724758594e93,34.99,40,ACCESSORIES
Ergonomic Office Chair,Adjustable ergonomic chair with lumbar support and padded seating.,https://images.unsplash.com/photo-1580480055273-228ff5388ef8,189.99,15,HOME
Resistance Training Bands,Set of resistance bands for strength and mobility workouts.,https://images.unsplash.com/photo-1598289431512-b97b0917affc,22.99,65,FITNESS
Everyday Running Backpack,Lightweight compact backpack with multiple storage compartments.,https://images.unsplash.com/photo-1553062407-98eeb64c6a62,49.99,35,ACCESSORIES
Smartphone Wireless Charger,Fast wireless charging pad compatible with modern smartphones.,https://images.unsplash.com/photo-1591290619762-c588f6d7c2b1,39.99,50,ELECTRONICS
Indoor Storage Organizer,Multi-compartment organizer for keeping household items neatly arranged.,https://images.unsplash.com/photo-1558997519-83ea9252edf8,27.99,25,HOME
Formal Oxford Shirt,Classic long-sleeve cotton shirt suitable for formal and office wear.,https://images.unsplash.com/photo-1603252110481-7ba873bf42ab,44.99,60,APPAREL
Football Training Ball,Durable training football designed for regular practice sessions.,https://images.unsplash.com/photo-1579952363873-27f3bade9f55,29.99,40,SPORTS
Desk Cable Organizer,Compact cable management kit for a clean and organized workspace.,https://images.unsplash.com/photo-1550745165-9bc0b252726f,14.99,90,OFFICE
Kitchen Knife Set,Three-piece stainless steel kitchen knife set with protective handles.,https://images.unsplash.com/photo-1593618998160-e34014e67546,54.99,20,KITCHEN
Yoga Mat,Non-slip exercise mat suitable for yoga stretching and home workouts.,https://images.unsplash.com/photo-1592432678016-e910b452f9a2,31.99,45,FITNESS
Casual Canvas Sneakers,Lightweight canvas sneakers designed for everyday casual use.,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,39.99,50,FOOTWEAR
